Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,SUMITOMO CHEMICAL INDIA LIMITED,,,,
LALPATHLAB,DR. LAL PATH LABS LIMITED,DR. LAL PATH LABS LIMITED,,,,
INOXWIND,INOX WIND LIMITED,INOX WIND LIMITED,,,,
HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED,HIMADRI SPECIALITY CHEMICAL LIMITED,,,,
LAURUSLABS,LAURUS LABS LIMITED,LAURUS LABS LIMITED,,,,
EMCURE,EMCURE PHARMACEUTICALS LIMITED,EMCURE PHARMACEUTICALS LIMITED,,,,
TVSHLTD,TVS HOLDINGS LIMITED,TVS HOLDINGS LIMITED,,,,
GRINDWELL,GRINDWELL NORTON LIMITED,GRINDWELL NORTON LIMITED,,,,
AIIL,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,,,,
WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED,WHIRLPOOL OF INDIA LIMITED,,,,
SKFINDIA,SKF INDIA LIMITED,SKF INDIA LIMITED,,,,
ARE&M,AMARA RAJA ENERGY & MOBILITY LIMITED,AMARA RAJA ENERGY & MOBILITY LIMITED,,,,
HATSUN,HATSUN AGRO PRODUCT LIMITED,HATSUN AGRO PRODUCT LIMITED,,,,
NH,NARAYANA HRUDAYALAYA LIMITED,NARAYANA HRUDAYALAYA LIMITED,,,,
NATCOPHARM,NATCO PHARMA LIMITED,NATCO PHARMA LIMITED,,,,
KEC,KEC INTERNATIONAL LIMITED,KEC INTERNATIONAL LIMITED,,,,
RATNAMANI,RATNAMANI METALS & TUBES LIMITED,RATNAMANI METALS & TUBES LIMITED,,,,
PFIZER,PFIZER LIMITED,PFIZER LIMITED,,,,
EIHOTEL,EIH LIMITED,EIH LIMITED,,,,
CESC,CESC LIMITED,CESC LIMITED,,,,
KIOCL,KIOCL LIMITED,KIOCL LIMITED,,,,
PEL,PIRAMAL ENTERPRISES LIMITED,PIRAMAL ENTERPRISES LIMITED,,,,
POLYMED,POLY MEDICURE LIMITED,POLY MEDICURE LIMITED,,,,
ANGELONE,ANGEL ONE LIMITED,ANGEL ONE LIMITED,,,,
PNBHOUSING,PNB HOUSING FINANCE LIMITED,PNB HOUSING FINANCE LIMITED,,,,
IGIL,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,,,,
CASTROLIND,CASTROL INDIA LIMITED,CASTROL INDIA LIMITED,,,,
KANSAINER,KANSAI NEROLAC PAINTS LIMITED,KANSAI NEROLAC PAINTS LIMITED,,,,
NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,NUVAMA WEALTH MANAGEMENT LIMITED,,,,
IRCON,IRCON INTERNATIONAL LIMITED,IRCON INTERNATIONAL LIMITED,,,,
JWL,JUPITER WAGONS LIMITED,JUPITER WAGONS LIMITED,,,,
TRITURBINE,TRIVENI TURBINE LIMITED,TRIVENI TURBINE LIMITED,,,,
SHYAMMETL,SHYAM METALICS AND ENERGY LIMITED,SHYAM METALICS AND ENERGY LIMITED,,,,
ANANTRAJ,ANANT RAJ LIMITED,ANANT RAJ LIMITED,,,,
FSL,FIRSTSOURCE SOLUTIONS LIMITED,FIRSTSOURCE SOLUTIONS LIMITED,,,,
ATUL,ATUL LIMITED,ATUL LIMITED,,,,
CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,COMPUTER AGE MANAGEMENT SERVICES LIMITED,,,,
AFFLE,AFFLE (INDIA) LIMITED,AFFLE (INDIA) LIMITED,,,,
TEJASNET,TEJAS NETWORKS LIMITED,TEJAS NETWORKS LIMITED,,,,
FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED,FIVE-STAR BUSINESS FINANCE LIMITED,,,,
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED,ALEMBIC PHARMACEUTICALS LIMITED,,,,
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED,ADITYA BIRLA SUN LIFE AMC LIMITED,,,,
JBMA,JBM AUTO LIMITED,JBM AUTO LIMITED,,,,
KAJARIACER,KAJARIA CERAMICS LIMITED,KAJARIA CERAMICS LIMITED,,,,
DEVYANI,DEVYANI INTERNATIONAL LIMITED,DEVYANI INTERNATIONAL LIMITED,,,,
GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,,,,
CYIENT,CYIENT LIMITED,CYIENT LIMITED,,,,
GSPL,GUJARAT STATE PETRONET LIMITED,GUJARAT STATE PETRONET LIMITED,,,,
FINCABLES,FINOLEX CABLES LIMITED,FINOLEX CABLES LIMITED,,,,
ELGIEQUIP,ELGI EQUIPMENTS LIMITED,ELGI EQUIPMENTS LIMITED,,,,
KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,,,,
KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED,KALPATARU PROJECTS INTERNATIONAL LIMITED,,,,
ASTERDM,ASTER DM HEALTHCARE LIMITED,ASTER DM HEALTHCARE LIMITED,,,,
RAMCOCEM,THE RAMCO CEMENTS LIMITED,THE RAMCO CEMENTS LIMITED,,,,
JINDALSAW,JINDAL SAW LIMITED,JINDAL SAW LIMITED,,,,
BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED,BIKAJI FOODS INTERNATIONAL LIMITED,,,,
AARTIIND,AARTI INDUSTRIES LIMITED,AARTI INDUSTRIES LIMITED,,,,
CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,CIE AUTOMOTIVE INDIA LIMITED,,,,
CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,,,,
VINATIORGA,VINATI ORGANICS LIMITED,VINATI ORGANICS LIMITED,,,,
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATUREGLOBAL (INDIA) LIMITED,,,,
SWANENERGY,SWAN ENERGY LIMITED,SWAN ENERGY LIMITED,,,,
CONCORDBIO,CONCORD BIOTECH LIMITED,CONCORD BIOTECH LIMITED,,,,
NCC,NCC LIMITED,NCC LIMITED,,,,
VGUARD,V-GUARD INDUSTRIES LIMITED,V-GUARD INDUSTRIES LIMITED,,,,
PTCIL,PTC INDUSTRIES LIMITED,PTC INDUSTRIES LIMITED,,,,
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,,,,
IIFL,IIFL FINANCE LIMITED,IIFL FINANCE LIMITED,,,,
RELAXO,RELAXO FOOTWEARS LIMITED,RELAXO FOOTWEARS LIMITED,,,,
HFCL,HFCL LIMITED,HFCL LIMITED,,,,
BLUEDART,BLUE DART EXPRESS LIMITED,BLUE DART EXPRESS LIMITED,,,,
CHALET,CHALET HOTELS LIMITED,CHALET HOTELS LIMITED,,,,
CELLO,CELLO WORLD LIMITED,CELLO WORLD LIMITED,,,,
AFCONS,AFCONS INFRASTRUCTURE LIMITED,AFCONS INFRASTRUCTURE LIMITED,,,,
AADHARHFC,AADHAR HOUSING FINANCE LIMITED,AADHAR HOUSING FINANCE LIMITED,,,,
WELCORP,WELSPUN CORP LIMITED,WELSPUN CORP LIMITED,,,,
TBOTEK,TBO TEK LIMITED,TBO TEK LIMITED,,,,
BATAINDIA,BATA INDIA LIMITED,BATA INDIA LIMITED,,,,
RRKABEL,R R KABEL LIMITED,R R KABEL LIMITED,,,,
TRIDENT,TRIDENT LIMITED,TRIDENT LIMITED,,,,
SAGILITY,SAGILITY INDIA LIMITED,SAGILITY INDIA LIMITED,,,,
JYOTHYLAB,JYOTHY LABS LIMITED,JYOTHY LABS LIMITED,,,,
FINPIPE,FINOLEX INDUSTRIES LIMITED,FINOLEX INDUSTRIES LIMITED,,,,
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH RAIL SYSTEMS LIMITED,,,,
IDFC,IDFC LIMITED             ,IDFC LIMITED             ,,,,
TECHNOE,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,,,,
SONATSOFTW,SONATA SOFTWARE LIMITED,SONATA SOFTWARE LIMITED,,,,
CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACCESS GRAMEEN LIMITED,,,,
KFINTECH,KFIN TECHNOLOGIES LIMITED,KFIN TECHNOLOGIES LIMITED,,,,
GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED,THE GREAT EASTERN SHIPPING COMPANY LIMITED,,,,
ERIS,ERIS LIFESCIENCES LIMITED,ERIS LIFESCIENCES LIMITED,,,,
AMBER,AMBER ENTERPRISES INDIA LIMITED,AMBER ENTERPRISES INDIA LIMITED,,,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,KARUR VYSYA BANK LIMITED,,,,
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED,CENTURY PLYBOARDS (INDIA) LIMITED,,,,
KIRLOSENG,KIRLOSKAR OIL ENGINES LIMITED,KIRLOSKAR OIL ENGINES LIMITED,,,,
JAIBALAJI,JAI BALAJI INDUSTRIES LIMITED,JAI BALAJI INDUSTRIES LIMITED,,,,
IFCI,IFCI LIMITED,IFCI LIMITED,,,,
ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED,ASTRAZENECA PHARMA INDIA LIMITED,,,,
LMW,LMW LIMITED,LMW LIMITED,,,,
BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED,BOMBAY BURMAH TRADING CORPORATION LIMITED,,,,
BEML,BEML LIMITED,BEML LIMITED,,,,
BSOFT,BIRLASOFT LIMITED,BIRLASOFT LIMITED,,,,
RKFORGE,RAMKRISHNA FORGINGS LIMITED,RAMKRISHNA FORGINGS LIMITED,,,,
DCMSHRIRAM,DCM SHRIRAM LIMITED,DCM SHRIRAM LIMITED,,,,
NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL LIMITED,NAVIN FLUORINE INTERNATIONAL LIMITED,,,,
WOCKPHARMA,WOCKHARDT LIMITED,WOCKHARDT LIMITED,,,,
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,ASAHI INDIA GLASS LIMITED,,,,
CGCL,CAPRI GLOBAL CAPITAL LIMITED,CAPRI GLOBAL CAPITAL LIMITED,,,,
ZENSARTECH,ZENSAR TECHNOLOGIES LIMITED,ZENSAR TECHNOLOGIES LIMITED,,,,
IEX,INDIAN ENERGY EXCHANGE LIMITED,INDIAN ENERGY EXCHANGE LIMITED,,,,
HBLENGINE,HBL ENGINEERING LIMITED,HBL ENGINEERING LIMITED,,,,
NEWGEN,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,,,,
VENTIVE,VENTIVE HOSPITALITY LIMITED,VENTIVE HOSPITALITY LIMITED,,,,
APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED,APTUS VALUE HOUSING FINANCE INDIA LIMITED,,,,
SOBHA,SOBHA LIMITED,SOBHA LIMITED,,,,
ANANDRATHI,ANAND RATHI WEALTH LIMITED,ANAND RATHI WEALTH LIMITED,,,,
BLS,BLS INTERNATIONAL SERVICES LIMITED,BLS INTERNATIONAL SERVICES LIMITED,,,,
JUBLPHARMA,JUBILANT PHARMOVA LIMITED,JUBILANT PHARMOVA LIMITED,,,,
WELSPUNLIV,WELSPUN LIVING LIMITED,WELSPUN LIVING LIMITED,,,,
TTML,TATA TELESERVICES (MAHARASHTRA) LIMITED,TATA TELESERVICES (MAHARASHTRA) LIMITED,,,,
NEULANDLAB,NEULAND LABORATORIES LIMITED,NEULAND LABORATORIES LIMITED,,,,
INDIAMART,INDIAMART INTERMESH LIMITED,INDIAMART INTERMESH LIMITED,,,,
PCBL,PCBL LIMITED,PCBL LIMITED,,,,
ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED,ACTION CONSTRUCTION EQUIPMENT LIMITED,,,,
AKZOINDIA,AKZO NOBEL INDIA LIMITED,AKZO NOBEL INDIA LIMITED,,,,
MANAPPURAM,MANAPPURAM FINANCE LIMITED,MANAPPURAM FINANCE LIMITED,,,,
MGL,MAHANAGAR GAS LIMITED,MAHANAGAR GAS LIMITED,,,,
KIRLOSBROS,KIRLOSKAR BROTHERS LIMITED,KIRLOSKAR BROTHERS LIMITED,,,,
DOMS,DOMS INDUSTRIES LIMITED,DOMS INDUSTRIES LIMITED,,,,
PGEL,PG ELECTROPLAST LIMITED,PG ELECTROPLAST LIMITED,,,,
CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED,CLEAN SCIENCE AND TECHNOLOGY LIMITED,,,,
FINEORG,FINE ORGANIC INDUSTRIES LIMITED,FINE ORGANIC INDUSTRIES LIMITED,,,,
GRINFRA,G R INFRAPROJECTS LIMITED,G R INFRAPROJECTS LIMITED,,,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,ZEN TECHNOLOGIES LIMITED,,,,
ACMESOLAR,ACME SOLAR HOLDINGS LIMITED,ACME SOLAR HOLDINGS LIMITED,,,,
RITES,RITES LIMITED,RITES LIMITED,,,,
REDINGTON,REDINGTON LIMITED,REDINGTON LIMITED,,,,
SAILIFE,SAI LIFE SCIENCES LIMITED,SAI LIFE SCIENCES LIMITED,,,,
KSB,KSB LIMITED,KSB LIMITED,,,,
UTIAMC,UTI ASSET MANAGEMENT COMPANY LIMITED,UTI ASSET MANAGEMENT COMPANY LIMITED,,,,
SANOFI,SANOFI INDIA LIMITED,SANOFI INDIA LIMITED,,,,
SPLPETRO,SUPREME PETROCHEM LIMITED,SUPREME PETROCHEM LIMITED,,,,
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED,DATA PATTERNS (INDIA) LIMITED,,,,
NSLNISP,NMDC STEEL LIMITED,NMDC STEEL LIMITED,,,,
INDGN,INDEGENE LIMITED,INDEGENE LIMITED,,,,
GODREJAGRO,GODREJ AGROVET LIMITED,GODREJ AGROVET LIMITED,,,,
PVRINOX,PVR INOX LIMITED,PVR INOX LIMITED,,,,
RPOWER,RELIANCE POWER LIMITED,RELIANCE POWER LIMITED,,,,
NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,,,,
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB TECHNOLOGIES INDIA LIMITED,,,,
EIDPARRY,EID PARRY INDIA LIMITED,EID PARRY INDIA LIMITED,,,,
CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED,CAPLIN POINT LABORATORIES LIMITED,,,,
GRAVITA,GRAVITA INDIA LIMITED,GRAVITA INDIA LIMITED,,,,
RAILTEL,RAILTEL CORPORATION OF INDIA LIMITED,RAILTEL CORPORATION OF INDIA LIMITED,,,,
VTL,VARDHMAN TEXTILES LIMITED,VARDHMAN TEXTILES LIMITED,,,,
ECLERX,ECLERX SERVICES LIMITED,ECLERX SERVICES LIMITED,,,,
GRANULES,GRANULES INDIA LIMITED,GRANULES INDIA LIMITED,,,,
SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED,STERLING AND WILSON RENEWABLE ENERGY LIMITED,,,,
RAINBOW,RAINBOW CHILDRENS MEDICARE LIMITED,RAINBOW CHILDRENS MEDICARE LIMITED,,,,
NAVA,NAVA LIMITED,NAVA LIMITED,,,,
ELECON,ELECON ENGINEERING COMPANY LIMITED,ELECON ENGINEERING COMPANY LIMITED,,,,
GPIL,GODAWARI POWER AND ISPAT LIMITED,GODAWARI POWER AND ISPAT LIMITED,,,,
SARDAEN,SARDA ENERGY & MINERALS LIMITED,SARDA ENERGY & MINERALS LIMITED,,,,
PRAJIND,PRAJ INDUSTRIES LIMITED,PRAJ INDUSTRIES LIMITED,,,,
AAVAS,AAVAS FINANCIERS LIMITED,AAVAS FINANCIERS LIMITED,,,,
DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,,,,
INGERRAND,INGERSOLL RAND (INDIA) LIMITED,INGERSOLL RAND (INDIA) LIMITED,,,,
RAYMONDLSL,RAYMOND LIFESTYLE LIMITED,RAYMOND LIFESTYLE LIMITED,,,,
OLECTRA,OLECTRA GREENTECH LIMITED,OLECTRA GREENTECH LIMITED,,,,
ZYDUSWELL,ZYDUS WELLNESS LIMITED,ZYDUS WELLNESS LIMITED,,,,
HONASA,HONASA CONSUMER LIMITED,HONASA CONSUMER LIMITED,,,,
MMTC,MMTC LIMITED,MMTC LIMITED,,,,
CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED,CRAFTSMAN AUTOMATION LIMITED,,,,
IWEL,INOX WIND ENERGY LIMITED,INOX WIND ENERGY LIMITED,,,,
ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEE ENTERTAINMENT ENTERPRISES LIMITED,,,,
WESTLIFE,WESTLIFE FOODWORLD LIMITED,WESTLIFE FOODWORLD LIMITED,,,,
LTFOODS,LT FOODS LIMITED,LT FOODS LIMITED,,,,
GLS,GLENMARK LIFE SCIENCES LIMITED,GLENMARK LIFE SCIENCES LIMITED,,,,
JPPOWER,JAIPRAKASH POWER VENTURES LIMITED,JAIPRAKASH POWER VENTURES LIMITED,,,,
MINDACORP,MINDA CORPORATION LIMITED,MINDA CORPORATION LIMITED,,,,
CUB,CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,,,,
INTELLECT,INTELLECT DESIGN ARENA LIMITED,INTELLECT DESIGN ARENA LIMITED,,,,
NUVOCO,NUVOCO VISTAS CORPORATION LIMITED,NUVOCO VISTAS CORPORATION LIMITED,,,,
RAYMOND,RAYMOND LIMITED,RAYMOND LIMITED,,,,
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED,CHENNAI PETROLEUM CORPORATION LIMITED,,,,
AKUMS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,,,,
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED,VOLTAMP TRANSFORMERS LIMITED,,,,
TARIL,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,,,,
TTKPRESTIG,TTK PRESTIGE LIMITED,TTK PRESTIGE LIMITED,,,,
GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED,GENUS POWER INFRASTRUCTURES LIMITED,,,,
ALOKINDS,ALOK INDUSTRIES LIMITED,ALOK INDUSTRIES LIMITED,,,,
RBLBANK,RBL BANK LIMITED,RBL BANK LIMITED,,,,
ENGINERSIN,ENGINEERS INDIA LIMITED,ENGINEERS INDIA LIMITED,,,,
RHIM,RHI MAGNESITA INDIA LIMITED,RHI MAGNESITA INDIA LIMITED,,,,
MARKSANS,MARKSANS PHARMA LIMITED,MARKSANS PHARMA LIMITED,,,,
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED,HAPPIEST MINDS TECHNOLOGIES LIMITED,,,,
TEGA,TEGA INDUSTRIES LIMITED,TEGA INDUSTRIES LIMITED,,,,
AETHER,AETHER INDUSTRIES LIMITED,AETHER INDUSTRIES LIMITED,,,,
JMFINANCIL,JM FINANCIAL LIMITED,JM FINANCIAL LIMITED,,,,
SAFARI,SAFARI INDUSTRIES (INDIA) LIMITED,SAFARI INDUSTRIES (INDIA) LIMITED,,,,
CEATLTD,CEAT LIMITED,CEAT LIMITED,,,,
SCI,SHIPPING CORPORATION OF INDIA LIMITED,SHIPPING CORPORATION OF INDIA LIMITED,,,,
GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,,,,
J&KBANK,THE JAMMU & KASHMIR BANK LIMITED,THE JAMMU & KASHMIR BANK LIMITED,,,,
MAHSCOOTER,MAHARASHTRA SCOOTERS LIMITED,MAHARASHTRA SCOOTERS LIMITED,,,,
USHAMART,USHA MARTIN LIMITED,USHA MARTIN LIMITED,,,,
TANLA,TANLA PLATFORMS LIMITED,TANLA PLATFORMS LIMITED,,,,
STAR,STRIDES PHARMA SCIENCE LIMITED,STRIDES PHARMA SCIENCE LIMITED,,,,
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED,ELECTROSTEEL CASTINGS LIMITED,,,,
SANOFICONR,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,,,,
CANFINHOME,CAN FIN HOMES LIMITED,CAN FIN HOMES LIMITED,,,,
BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED,BALRAMPUR CHINI MILLS LIMITED,,,,
JUBLINGREA,JUBILANT INGREVIA LIMITED,JUBILANT INGREVIA LIMITED,,,,
EUREKAFORB,EUREKA FORBES LIMITED,EUREKA FORBES LIMITED,,,,
JSWHL,JSW HOLDINGS LIMITED,JSW HOLDINGS LIMITED,,,,
MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,C.E. INFO SYSTEMS LIMITED,,,,
INDIACEM,THE INDIA CEMENTS LIMITED,THE INDIA CEMENTS LIMITED,,,,
KPIGREEN,KPI GREEN ENERGY LIMITED,KPI GREEN ENERGY LIMITED,,,,
REDTAPE,REDTAPE LIMITED,REDTAPE LIMITED,,,,
HAPPYFORGE,HAPPY FORGINGS LIMITED,HAPPY FORGINGS LIMITED,,,,
METROPOLIS,METROPOLIS HEALTHCARE LIMITED,METROPOLIS HEALTHCARE LIMITED,,,,
JKTYRE,JK TYRE & INDUSTRIES LIMITED,JK TYRE & INDUSTRIES LIMITED,,,,
INOXINDIA,INOX INDIA LIMITED,INOX INDIA LIMITED,,,,
CERA,CERA SANITARYWARE LIMITED,CERA SANITARYWARE LIMITED,,,,
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED,ALKYL AMINES CHEMICALS LIMITED,,,,
VESUVIUS,VESUVIUS INDIA LIMITED,VESUVIUS INDIA LIMITED,,,,
QUESS,QUESS CORP LIMITED,QUESS CORP LIMITED,,,,
PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,,,,
BAJAJELEC,BAJAJ ELECTRICALS LIMITED,BAJAJ ELECTRICALS LIMITED,,,,
GRAPHITE,GRAPHITE INDIA LIMITED,GRAPHITE INDIA LIMITED,,,,
PNCINFRA,PNC INFRATECH LIMITED,PNC INFRATECH LIMITED,,,,
LEMONTREE,LEMON TREE HOTELS LIMITED,LEMON TREE HOTELS LIMITED,,,,
SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED,SAPPHIRE FOODS INDIA LIMITED,,,,
NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED,NETWORK18 MEDIA & INVESTMENTS LIMITED,,,,
ISGEC,ISGEC HEAVY ENGINEERING LIMITED,ISGEC HEAVY ENGINEERING LIMITED,,,,
GALAXYSURF,GALAXY SURFACTANTS LIMITED,GALAXY SURFACTANTS LIMITED,,,,
RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,,,,
RTNINDIA,RATTANINDIA ENTERPRISES LIMITED,RATTANINDIA ENTERPRISES LIMITED,,,,
SYMPHONY,SYMPHONY LIMITED,SYMPHONY LIMITED,,,,
PURVA,PURAVANKARA LIMITED,PURAVANKARA LIMITED,,,,
GPPL,GUJARAT PIPAVAV PORT LIMITED,GUJARAT PIPAVAV PORT LIMITED,,,,
BIRLACORPN,BIRLA CORPORATION LIMITED,BIRLA CORPORATION LIMITED,,,,
SAREGAMA,SAREGAMA INDIA LIMITED,SAREGAMA INDIA LIMITED,,,,
DBREALTY,VALOR ESTATE LIMITED,VALOR ESTATE LIMITED,,,,
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED,MRS. BECTORS FOOD SPECIALITIES LIMITED,,,,
ARVIND,ARVIND LIMITED,ARVIND LIMITED,,,,
THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED,THOMAS COOK  (INDIA)  LIMITED,,,,
SFL,SHEELA FOAM LIMITED,SHEELA FOAM LIMITED,,,,
RELINFRA,RELIANCE INFRASTRUCTURE LIMITED,RELIANCE INFRASTRUCTURE LIMITED,,,,
LATENTVIEW,LATENT VIEW ANALYTICS LIMITED,LATENT VIEW ANALYTICS LIMITED,,,,
EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED,EDELWEISS FINANCIAL SERVICES LIMITED,,,,
HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED,HOME FIRST FINANCE COMPANY INDIA LIMITED,,,,
PNGJL,P N GADGIL JEWELLERS LIMITED,P N GADGIL JEWELLERS LIMITED,,,,
FORCEMOT,FORCE MOTORS LIMITED,FORCE MOTORS LIMITED,,,,
JUSTDIAL,JUST DIAL LIMITED,JUST DIAL LIMITED,,,,
ROUTE,ROUTE MOBILE LIMITED,ROUTE MOBILE LIMITED,,,,
HGINFRA,H.G. INFRA ENGINEERING LIMITED,H.G. INFRA ENGINEERING LIMITED,,,,
IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,ION EXCHANGE (INDIA) LIMITED,,,,
RENUKA,SHREE RENUKA SUGARS LIMITED,SHREE RENUKA SUGARS LIMITED,,,,
VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED,VIJAYA DIAGNOSTIC CENTRE LIMITED,,,,
SAMMAANCAP,SAMMAAN CAPITAL LIMITED,SAMMAAN CAPITAL LIMITED,,,,
JKLAKSHMI,JK LAKSHMI CEMENT LIMITED,JK LAKSHMI CEMENT LIMITED,,,,
AZAD,AZAD ENGINEERING LIMITED,AZAD ENGINEERING LIMITED,,,,
ESABINDIA,ESAB INDIA LIMITED,ESAB INDIA LIMITED,,,,
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,,,,
TIPSMUSIC,TIPS MUSIC LIMITED,TIPS MUSIC LIMITED,,,,
WABAG,VA TECH WABAG LIMITED,VA TECH WABAG LIMITED,,,,
TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LIMITED,TRIVENI ENGINEERING & INDUSTRIES LIMITED,,,,
KNRCON,KNR CONSTRUCTIONS LIMITED,KNR CONSTRUCTIONS LIMITED,,,,
IIFLCAPS,IIFL CAPITAL SERVICES LIMITED,IIFL CAPITAL SERVICES LIMITED,,,,
ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED,ALLIED BLENDERS AND DISTILLERS LIMITED,,,,
POWERMECH,POWER MECH PROJECTS LIMITED,POWER MECH PROJECTS LIMITED,,,,
CHOICEIN,CHOICE INTERNATIONAL LIMITED,CHOICE INTERNATIONAL LIMITED,,,,
KIRLPNU,KIRLOSKAR PNEUMATIC COMPANY LIMITED,KIRLOSKAR PNEUMATIC COMPANY LIMITED,,,,
AURIONPRO,AURIONPRO SOLUTIONS LIMITED,AURIONPRO SOLUTIONS LIMITED,,,,
CCL,CCL PRODUCTS (INDIA) LIMITED,CCL PRODUCTS (INDIA) LIMITED,,,,
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,SHAKTI PUMPS (INDIA) LIMITED,,,,
SBFC,SBFC FINANCE LIMITED,SBFC FINANCE LIMITED,,,,
PRSMJOHNSN,PRISM JOHNSON LIMITED,PRISM JOHNSON LIMITED,,,,
